,uniqueid,year,treat,returnyear,groupid,doctoral_graduation_year,post,treat_post,gender,cohort,discipline,bachelor_university,doctoral_university,region_bf_rcrt,doc_region,num_of_pub,q12_num,q1_num,top10_num,fa_pub,fa_q12pub,fa_q1pub,fa_top10pub,la_pub,la_q12pub,la_q1pub,la_top10pub,teamsize,teamsize_nlg,grant,grant_nlg,pi,alumni,recruit_institution,recruit_type,phd_overall_rank,phd_field_rank,bc_overall_rank,recruit_position,top10_productivity,year_index,counterfactual_num_of_pub,counterfactual_top10_num,counterfactual_fa_pub,counterfactual_fa_q1pub,counterfactual_la_pub,counterfactual_la_q1pub
28,0_2,2010,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,3.0,2,1,1.0,2.0,1,1.0,1,3.0,2,1.0,1,0,0,0.0,14339.25,,0,,,113,26,5.0,,,-2,,,,,,
29,0_2,2019,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,1.0,0,0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0,0,62500.125,88139.125,,0,,,113,26,5.0,,,7,,,,,,
30,0_2,2009,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,14339.25,,0,,,113,26,5.0,,,-3,,,,,,
31,0_2,2018,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,3.0,2,1,0.0,3.0,2,1.0,0,2.0,2,1.0,0,0,0,62500.125,88139.125,,0,,,113,26,5.0,,,6,,,,,,
32,0_2,2011,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,1.0,1,1,1.0,0.0,0,0.0,0,1.0,1,1.0,1,0,0,14339.25,57279.449,,0,,,113,26,5.0,,,-1,,,,,,
33,0_2,2014,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,3.0,1,1,0.0,1.0,0,0.0,0,2.0,1,1.0,0,0,0,57279.449,105440.33,,0,,,113,26,5.0,,,2,,,,,,
34,0_2,2008,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,3.0,3,1,1.0,2.0,2,1.0,1,2.0,2,1.0,1,0,0,0.0,0.0,,0,,,113,26,5.0,,,-4,,,,,,
35,0_2,2015,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,6.0,3,2,2.0,4.0,2,2.0,2,4.0,2,1.0,1,0,0,105440.33,105440.33,,0,,,113,26,5.0,,,3,,,,,,
36,0_2,2017,0,2012,4,2007,1,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,105440.33,62500.125,,0,,,113,26,5.0,,,5,,,,,,
37,0_2,2012,0,2012,4,2007,0,0,Male,1,PHYSICS AND MATHEMATICS,Peking University,Princeton University,,USA,1.0,1,1,0.0,1.0,1,1.0,0,1.0,1,1.0,0,0,0,14339.25,57279.449,,0,,,113,26,5.0,,,0,,,,,,
