uniqueID,reject,Recruit_year,Cohort,Discipline,top100,PI,avg_pub,avg_FA_pub,avg_FA_top10pub,avg_LA_pub,avg_LA_top10pub,grant_nlg
1_140,0,2011,1,LIFE SCIENCE,0,0,0.8,0.6,0.6,0,0,0
1_142,0,2011,1,LIFE SCIENCE,1,0,1,0.4,0.2,0,0,0
1_143,0,2011,1,LIFE SCIENCE,0,0,1.8,0,0,0,0,0
1_144,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.25,0,0,0.25,0,0
1_145,0,2012,2,PHYSICS AND MATHEMATICS,1,0,4.5,1.5,0.5,0,0,0
1_146,1,2012,2,PHYSICS AND MATHEMATICS,1,1,0.75,0.25,0,0.75,0.25,0
1_147,0,2012,2,PHYSICS AND MATHEMATICS,0,0,3,1.75,0.25,0,0,0
1_148,0,2012,2,PHYSICS AND MATHEMATICS,0,1,4.2,2.6,0.6,0.2,0,0
1_15,0,2011,1,PHYSICS AND MATHEMATICS,0,0,0.8,0.6,0.4,0,0,0
1_150,0,2012,2,PHYSICS AND MATHEMATICS,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0
1_151,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2,0.75,0,0,0,0
1_152,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.6666666666666667,0.6666666666666666,0.6666666666666666,0,0,0
1_155,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2,1,0.5,0,0,0
1_156,0,2012,2,PHYSICS AND MATHEMATICS,0,1,5.8,1.2,0.8,0,0,0
1_157,0,2012,2,PHYSICS AND MATHEMATICS,1,0,5,1.25,0.5,2.25,0.25,0
1_159,0,2012,2,PHYSICS AND MATHEMATICS,0,0,3.3333333333333335,1,0.3333333333333333,0,0,0
1_16,1,2011,1,PHYSICS AND MATHEMATICS,1,1,3.5,1.25,0.75,2,0.25,0
1_161,0,2012,2,PHYSICS AND MATHEMATICS,1,0,5,2,1.3333333333333333,0,0,0
1_163,0,2012,2,PHYSICS AND MATHEMATICS,1,0,1.8,0.8,0.4,0,0,0
1_164,0,2012,2,PHYSICS AND MATHEMATICS,1,0,7,1.5,1,0,0,186000
1_165,0,2012,2,PHYSICS AND MATHEMATICS,1,0,16.4,0,0,0,0,0
1_166,0,2012,2,PHYSICS AND MATHEMATICS,0,1,2,1.2,0.8,0,0,93200
1_168,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.4,1,1,0,0,0
1_169,0,2012,2,PHYSICS AND MATHEMATICS,0,0,2.6,1,0.8,0,0,0
1_17,0,2011,1,PHYSICS AND MATHEMATICS,0,0,1.5,1,0.5,0,0,0
1_170,0,2012,2,PHYSICS AND MATHEMATICS,1,1,1.4,1.2,0.2,0,0,0
1_171,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.25,0.75,0.5,0.75,0.25,0
1_172,1,2012,2,PHYSICS AND MATHEMATICS,1,0,1.6,0.6,0.2,0,0,0
1_173,0,2012,2,PHYSICS AND MATHEMATICS,1,0,1,1,0.6,0,0,0
1_175,1,2012,2,PHYSICS AND MATHEMATICS,1,1,3.8,0.6,0.2,1.6,0.6,56571.42857142857
1_177,0,2012,2,PHYSICS AND MATHEMATICS,1,0,3.25,0.75,0,1.5,0.75,0
1_178,0,2012,2,PHYSICS AND MATHEMATICS,0,0,1.2,1,0.8,0,0,0
1_179,0,2012,2,PHYSICS AND MATHEMATICS,1,1,2,1.5,0,0,0,0
1_18,0,2011,1,PHYSICS AND MATHEMATICS,1,1,0.5,0.5,0,0.5,0,0
